s,E,N,kappa_c,nx,ny
975.0201025716124,545401.5543583746,2819445.1445753896,-0.03609796212082568,0.1886931771036556,0.9820360914521057
979.6634825703117,545406.0023392171,2819443.811742228,-0.025601219301688072,0.316825319028226,0.9484839045670004
984.0096367768973,545410.1018335606,2819442.3684118725,-0.03297413214357192,0.39528356070650134,0.9185591470532475
988.9744622140512,545414.3834979102,2819439.855079022,-0.0017414430114659118,0.5999237450786473,0.8000571855128922
996.1376741186599,545419.4083209994,2819434.749909317,-0.03796859083465856,0.8123185125308119,0.5832140552144891
1002.4410858912158,545422.6590444492,2819429.349372582,-0.012325106103525824,0.8668685010234679,0.4985368611580551
1007.8618757774095,545425.2600150616,2819424.593332752,-0.016510256175771287,0.9122042268910273,0.40973582762817207
1013.4066599821364,545427.3412447929,2819419.4539636583,-0.0020574510268904513,0.9013562961030644,0.4330783156374431
1018.0970264060405,545429.7205351441,2819415.4118708074,-0.0002361044650932246,0.846430609458588,0.5324990360287644
1024.5753846494554,545433.0472412083,2819409.852900373,0.016177857027806934,0.8635462210314968,0.5042696938565923
1031.1158344620742,545436.2984000832,2819404.1777396067,0.002998134475022691,0.8762535233649381,0.4818503531082362
1036.58491506066,545438.9988603938,2819399.421863588,0.018754767034928645,0.8439884623480106,0.536361329164809
1043.7825265733734,545443.3996812758,2819393.726392839,-0.00410102973668366,0.7460851928335305,0.6658504975101797
1050.370883651579,545447.8421486364,2819388.861114559,0.012235411515331116,0.7540996566226912,0.6567600078274706
1057.6066283063049,545452.4582549513,2819383.2890805323,-0.0014200889454024427,0.7605945818146785,0.6492271421576228
1065.366883138524,545457.8252671855,2819377.6840172196,0.007911119808626535,0.6822296376222285,0.7311379634171944
1070.6442735663284,545461.6613636314,2819374.059763671,0.0006646558411399617,0.7224042263986887,0.691470992653569
1075.723783911267,545465.0293944484,2819370.2574231075,0.003404691639543773,0.7395785910444511,0.6730702100588798
1081.9388874884671,545469.3300648659,2819365.770581631,0.0023684589939976914,0.7412858687411675,0.6711894373458603
1089.478989637146,545474.5617099206,2819360.3407537853,-0.0013583682513249459,0.5961347750622106,0.8028843814407699
1097.915514472772,545481.7481966752,2819355.921550302,0.005044294583870649,0.6517536669791016,0.7584307203557186
1105.0149935385903,545486.8768599327,2819351.012434679,-0.006424621519464465,0.5050206275932327,0.86310727357921
1110.2457219168032,545491.60282994,2819348.7706213826,0.002313768717501317,0.6093056737471316,0.7929354298677502
1116.6823507413808,545495.6044208261,2819343.7290481157,-0.0065950246824370146,0.6883358678744331,0.725392123611465
